coder,id,scale,cope.m,en.m,social.m,conf.m,cope.sd,en.sd,social.sd,conf.sd,cope.a,en.a,social.a,conf.a,,,,,,,,,,,
Aaron,Stewart1996.m,1-4,1.59,1.99,2.17,NA,0.56,0.83,0.62,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Stewart2000,1-4,1.6,2.2,2.5,NA,0.6,0.8,0.7,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Stewart2000b,1-5,1.77,2.89,3.22,1.35,0.77,1.05,0.91,0.51,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Stewart2001.f,1-5,1.65,2.83,3.24,1.27,0.71,1.11,0.99,0.43,0.78,0.89,0.85,0.69,,,,,,,,,,,
Aaron,Stewart2001.m,1-5,1.77,3.11,3.44,1.48,0.7,0.94,0.84,0.5,0.78,0.89,0.85,0.69,,,,,,,,,,,
Aaron,Stewart2006.f,1-5,1.7,2.79,3.12,1.34,0.69,1.1,1,0.58,0.81,0.87,0.86,0.78,,,,,,,,,,,
Aaron,Stewart2006.m,1-5,1.61,2.67,3.17,1.42,0.74,0.87,0.96,0.51,0.81,0.87,0.86,0.78,,,,,,,,,,,
Aaron,Theakston2004,1-5,1.71,2.49,3.01,1.39,0.8,1.09,1.01,0.57,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Thomas2011,0-4,2.4,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Thomas2014,1-4,1.7,2.2,2.5,NA,0.39,0.58,0.61,NA,0.7,NA,NA,NA,,,,,,,,,,,
Aaron,Topper2011,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,,,,,,,,,,,
Aaron,Tragessor2007,0-3,0.61,1.3,NA,NA,0.63,0.77,NA,NA,0.84,0.87,NA,NA,,,,,,,,,,,
Aaron,Tragessor2008,1-6,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.91,NA,NA,,,,,,,,,,,
